pid;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Mas Vnr Type;Mas Vnr Area;foundation;heating;Central Air;electrical;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Kitchen AbvGr;TotRms AbvGrd;functional;fireplaces;Fireplace Qu;Paved Drive;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;fence;MS SubClass;MS Zoning;Mo Sold;Yr Sold;Exter Cond;Heating QC;Exter Qual;Kitchen Qual;Full Bath;Half Bath;Bedroom AbvGr;Gr Liv Area;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Bsmt Unf SF;Bsmt Cond;Bsmt Half Bath;BsmtFin Type 1;BsmtFin Type 2;Total Bsmt SF;Bsmt Exposure;Bsmt Full Bath;Bsmt Qual;BsmtFin SF 2;BsmtFin SF 1;Garage Cond;Garage Type;Garage Yr Blt;Garage Cars;Garage Qual;Garage Finish;Garage Area;Misc Feature;Misc Val;Pool QC;Pool Area;Neighborhood;Sale Type;saleprice;Sale Condition
528228375;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;72;PConc ;GasA ;Y;SBrkr;1589;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RL     ;11.0;2007.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1589.0;;3621;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;8;5;2003;2003;322;TA;0;GLQ;Unf;1406;Gd;1;Gd;0;1084;TA;Attchd;2003;3;TA;Fin;630;NA;0;NA;0;Blmngtn;WD   ;226500;Normal 
528228405;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;24;PConc ;GasA ;Y;SBrkr;1576;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RM     ;5.0;2008.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1576.0;;3940;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2004;2004;306;TA;0;GLQ;Unf;1393;No;1;Gd;0;1087;TA;Attchd;2004;3;TA;RFn;668;NA;0;NA;0;Blmngtn;WD   ;219990;Normal 
528228415;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;18;PConc ;GasA ;Y;SBrkr;1414;0;0;1;6;Typ ;1;TA;Y;144;20;0;0;0;NA   ;120;RM     ;5.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1414.0;;3072;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2004;2004;1375;TA;0;Unf;Unf;1375;No;0;Gd;0;0;TA;Attchd;2004;2;TA;Fin;398;NA;0;NA;0;Blmngtn;WD   ;178740;Normal 
528228430;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;18;PConc ;GasA ;Y;SBrkr;1548;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RM     ;9.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1548.0;;3072;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2004;2004;306;TA;0;GLQ;Unf;1365;No;1;Gd;0;1059;TA;Attchd;2004;2;TA;Fin;388;NA;0;NA;0;Blmngtn;WD   ;225000;Normal 
528228435;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1555;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RL     ;5.0;2009.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1555.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1357;TA;0;GLQ;Unf;1373;Av;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;430;NA;0;NA;0;Blmngtn;WD   ;192500;Normal 
528228440;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1269;0;0;1;6;Typ ;1;TA;Y;146;20;0;0;144;NA   ;120;RL     ;4.0;2010.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1269.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;8;5;2004;2005;1232;TA;0;GLQ;Unf;1256;No;0;Gd;0;24;TA;Attchd;2004;2;TA;Fin;430;NA;0;NA;0;Blmngtn;WD   ;192000;Normal 
528228445;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;14;PConc ;GasA ;Y;SBrkr;1504;0;0;1;7;Typ ;1;Gd;Y;156;20;0;0;0;NA   ;120;RL     ;5.0;2008.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1504.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1330;Gd;0;GLQ;Unf;1346;No;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;437;NA;0;NA;0;Blmngtn;WD   ;191000;Normal 
528228450;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1504;0;0;1;7;Typ ;1;Gd;Y;156;0;0;0;0;NA   ;120;RL     ;5.0;2009.0;TA;Ex;Gd;Gd;2.0;0.0;1.0;1504.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1330;TA;0;GLQ;Unf;1346;No;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;457;NA;0;NA;0;Blmngtn;WD   ;181000;Normal 
528228455;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1220;0;0;1;5;Typ ;1;Gd;Y;100;16;0;0;0;NA   ;120;RL     ;8.0;2009.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1220.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1204;TA;0;GLQ;Unf;1220;Av;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;397;NA;0;NA;0;Blmngtn;WD   ;180000;Normal 
528228460;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;11;PConc ;GasA ;Y;SBrkr;1145;0;0;1;5;Typ ;1;Gd;Y;100;16;0;0;0;NA   ;120;RL     ;9.0;2009.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1145.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1129;TA;0;GLQ;Unf;1145;No;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;397;NA;0;NA;0;Blmngtn;WD   ;160200;Normal 
528228465;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1266;0;0;1;6;Typ ;1;Gd;Y;100;16;0;0;0;NA   ;20;RL     ;3.0;2008.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1266.0;43;3182;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;1Fam  ;1Story;7;5;2007;2007;1266;TA;0;Unf;Unf;1266;Av;0;Gd;0;0;TA;Attchd;2007;2;TA;Fin;388;NA;0;NA;0;Blmngtn;WD   ;159895;Normal 
528228540;Gable  ;CompShg;WdShing;Wd Shng;BrkFace;20;PConc ;GasA ;Y;SBrkr;1246;0;0;1;5;Typ ;1;Gd;Y;100;24;0;0;0;NA   ;20;RL     ;3.0;2008.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1246.0;53;3710;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;1Fam  ;1Story;7;5;2007;2008;1146;TA;0;Unf;Unf;1146;Gd;0;Gd;0;0;TA;Attchd;2007;2;TA;Fin;428;NA;0;NA;0;Blmngtn;New  ;187687;Partial
528228545;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1248;0;0;1;5;Typ ;0;NA;Y;108;0;0;0;0;NA   ;120;RL     ;3.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1248.0;43;3010;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1232;TA;0;GLQ;Unf;1248;Av;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;438;NA;0;NA;0;Blmngtn;New  ;167240;Partial
528228550;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;14;PConc ;GasA ;Y;SBrkr;1142;0;0;1;6;Typ ;0;NA;Y;90;0;0;0;0;NA   ;120;RL     ;6.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1142.0;43;3010;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2006;1126;TA;0;GLQ;Unf;1142;Gd;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;440;NA;0;NA;0;Blmngtn;New  ;156820;Partial
528228555;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;16;PConc ;GasA ;Y;SBrkr;1266;0;0;1;6;Typ ;1;Gd;Y;100;16;0;0;0;NA   ;20;RL     ;8.0;2007.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1266.0;53;3710;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;1Fam  ;1Story;7;5;2007;2007;1266;TA;0;Unf;Unf;1266;Av;0;Gd;0;0;TA;Attchd;2007;2;TA;Fin;388;NA;0;NA;0;Blmngtn;New  ;185485;Partial
528228565;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;145;PConc ;GasA ;Y;SBrkr;1506;0;0;1;6;Typ ;1;Gd;Y;142;20;0;0;0;NA   ;120;RL     ;4.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1506.0;43;3013;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2005;2005;1346;TA;0;GLQ;Unf;1362;Gd;0;Gd;0;16;TA;Attchd;2005;2;TA;Fin;440;NA;0;NA;0;Blmngtn;WD   ;213490;Normal 
528228575;Hip    ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;1567;0;0;1;7;Typ ;1;Gd;Y;312;0;0;0;0;NA   ;120;RL     ;10.0;2006.0;TA;Ex;Gd;Ex;2.0;0.0;1.0;1567.0;53;3982;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;8;5;2006;2006;366;Gd;0;GLQ;Unf;1520;Av;1;Gd;0;1154;TA;Attchd;2006;3;TA;Fin;648;NA;0;NA;0;Blmngtn;New  ;264561;Partial
528228580;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;45;PConc ;GasA ;Y;SBrkr;1500;0;0;1;6;Typ ;1;Gd;Y;161;20;0;0;0;NA   ;120;RL     ;10.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1500.0;53;4045;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2006;2006;286;TA;0;GLQ;Unf;1356;Av;1;Gd;0;1070;TA;Attchd;2006;3;TA;Fin;648;NA;0;NA;0;Blmngtn;New  ;246578;Partial
909451020;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;516;516;0;1;5;Typ ;1;TA;Y;213;0;0;0;0;GdPrv;160;RM     ;12.0;2008.0;TA;TA;TA;TA;1.0;0.0;2.0;1032.0;24;1879;Pave;NA  ;Reg                 ;Lvl;AllPub;CulDSac;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;6;1980;1980;150;TA;0;GLQ;Unf;516;No;0;Gd;0;366;TA;Detchd;1980;2;TA;Unf;462;NA;0;NA;0;Blueste;WD   ;116500;Normal 
909451040;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;516;516;0;1;5;Typ ;1;TA;Y;279;0;0;0;0;GdPrv;160;RM     ;5.0;2009.0;TA;TA;TA;TA;1.0;0.0;2.0;1032.0;24;1733;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;6;1980;1980;516;TA;0;Unf;Unf;516;No;0;TA;0;0;TA;Detchd;1980;2;TA;Unf;452;NA;0;NA;0;Blueste;WD   ;115000;Normal 
909451100;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;561;668;0;1;5;Typ ;1;TA;Y;176;0;0;0;0;GdPrv;160;RM     ;10.0;2009.0;Gd;TA;TA;Gd;1.0;1.0;2.0;1229.0;24;1488;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;2Story;6;6;1980;1992;90;TA;0;ALQ;Unf;561;Mn;1;Gd;0;471;TA;Attchd;1980;2;TA;Fin;462;NA;0;NA;0;Blueste;WD   ;137000;Normal 
909451130;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;529;516;0;1;5;Typ ;1;TA;Y;180;0;0;0;0;MnPrv;160;RM     ;12.0;2007.0;Gd;Gd;TA;TA;1.0;0.0;2.0;1045.0;24;1782;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;6;1980;1980;186;TA;0;GLQ;Unf;516;No;0;Gd;0;330;TA;Detchd;1980;2;TA;Unf;462;NA;0;NA;0;Blueste;WD   ;123900;Normal 
909451140;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;561;668;0;1;5;Typ ;1;TA;Y;154;0;0;0;0;MnPrv;160;RM     ;7.0;2009.0;TA;TA;TA;TA;1.0;1.0;2.0;1229.0;24;1612;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;6;1980;1980;561;TA;0;Unf;Unf;561;No;0;Gd;0;0;TA;Attchd;1980;2;TA;Fin;462;NA;0;NA;0;Blueste;WD   ;121000;Normal 
909451150;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;716;840;0;1;6;Typ ;1;TA;Y;161;0;0;0;0;GdPrv;160;RM     ;7.0;2008.0;Gd;TA;TA;TA;2.0;1.0;3.0;1556.0;24;1950;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;6;1980;1980;23;TA;0;LwQ;GLQ;716;No;1;Gd;612;81;TA;Attchd;1980;2;TA;Fin;452;NA;0;NA;0;Blueste;COD  ;151000;Normal 
909451180;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;CBlock;GasA ;Y;SBrkr;561;668;0;1;5;Typ ;1;TA;Y;150;0;0;0;0;GdPrv;160;RM     ;5.0;2009.0;TA;TA;TA;TA;1.0;1.0;2.0;1229.0;24;1300;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;2Story;6;6;1980;1980;276;TA;0;ALQ;Unf;561;No;0;Gd;0;285;TA;Attchd;1980;2;TA;Fin;462;NA;0;NA;0;Blueste;WD   ;124000;Normal 
909455030;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;CBlock;GasA ;Y;SBrkr;1034;0;0;1;4;Typ ;1;TA;Y;141;36;0;0;0;NA   ;120;RM     ;4.0;2010.0;TA;Gd;Gd;Gd;1.0;0.0;1.0;1034.0;35;3907;Pave;NA  ;IR1                 ;HLS;AllPub;Inside ;Mod;Norm                          ;Normal;TwnhsE;1Story;8;6;1989;1989;235;TA;0;GLQ;Unf;982;Gd;1;Gd;0;747;TA;Attchd;1989;2;TA;Fin;598;NA;0;NA;0;Blueste;WD   ;185000;Normal 
909455040;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;CBlock;GasA ;Y;SBrkr;1191;0;0;1;5;Typ ;1;TA;Y;112;81;0;0;0;NA   ;120;RM     ;3.0;2010.0;TA;Gd;Gd;Gd;2.0;0.0;2.0;1191.0;35;3907;Pave;NA  ;IR1                 ;HLS;AllPub;Inside ;Mod;Norm                          ;Normal;TwnhsE;1Story;8;5;1989;1989;1115;TA;0;GLQ;Unf;1191;Av;0;Gd;0;76;TA;Attchd;1989;2;TA;Unf;531;NA;0;NA;0;Blueste;WD   ;162500;Normal 
909455060;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;CBlock;GasA ;Y;SBrkr;1020;0;0;1;4;Typ ;0;NA;Y;135;0;0;0;0;NA   ;120;RM     ;3.0;2007.0;TA;Gd;TA;TA;1.0;0.0;1.0;1020.0;35;3907;Pave;NA  ;IR1                 ;Bnk;AllPub;Inside ;Mod;Norm                          ;Normal;TwnhsE;1Story;8;5;1988;1988;427;TA;0;GLQ;Unf;1004;Gd;1;Gd;0;577;TA;Attchd;1988;2;TA;Unf;509;NA;0;NA;0;Blueste;WD   ;200000;Normal 
527450010;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;514;CBlock;GasA ;Y;SBrkr;525;567;0;1;6;Typ ;0;NA;Y;0;0;0;0;0;NA   ;160;RM     ;12.0;2006.0;TA;TA;TA;TA;1.0;1.0;3.0;1092.0;24;2760;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;2Story;6;5;1973;1973;525;TA;0;Unf;Unf;525;No;0;TA;0;0;TA;Detchd;1973;2;TA;Unf;440;NA;0;NA;0;BrDale ;WD   ;105500;Normal 
527450030;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;567;CBlock;GasA ;Y;SBrkr;525;567;0;1;6;Typ ;0;NA;Y;144;0;0;0;0;NA   ;160;RM     ;2.0;2007.0;TA;TA;TA;TA;1.0;1.0;3.0;1092.0;21;2205;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;6;1973;1973;213;TA;0;ALQ;Unf;525;No;0;TA;0;312;TA;Detchd;1973;1;TA;Unf;264;NA;0;NA;0;BrDale ;WD   ;113500;Normal 
527450080;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;200;CBlock;GasA ;Y;SBrkr;765;600;0;1;7;Min1;1;Fa;Y;0;36;0;0;0;NA   ;160;RM     ;6.0;2006.0;TA;Gd;TA;Gd;1.0;1.0;3.0;1365.0;24;2160;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;2Story;5;6;1973;1973;363;TA;0;LwQ;Unf;765;No;0;TA;0;402;TA;Attchd;1973;2;TA;Unf;440;NA;0;NA;0;BrDale ;WD   ;125500;Normal 
527450110;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;359;CBlock;GasA ;Y;SBrkr;483;504;0;1;5;Typ ;0;NA;Y;52;0;0;0;0;NA   ;160;RM     ;2.0;2008.0;TA;TA;TA;TA;1.0;1.0;2.0;987.0;21;1680;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;5;1973;1973;25;TA;1;LwQ;Unf;483;No;0;TA;0;458;TA;Detchd;1973;1;TA;Unf;264;NA;0;NA;0;BrDale ;WD   ;103400;Normal 
527450150;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;285;CBlock;GasA ;Y;SBrkr;672;546;0;1;7;Typ ;0;NA;Y;144;28;0;0;0;NA   ;160;RM     ;5.0;2007.0;TA;TA;TA;TA;1.0;1.0;3.0;1218.0;21;1890;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;Twnhs ;2Story;6;5;1973;1973;316;TA;0;BLQ;Unf;672;No;0;TA;0;356;TA;Detchd;1973;1;TA;Unf;264;NA;0;NA;0;BrDale ;WD   ;113000;Normal 
